"","country","region","best_model","linear_AIC","quadratic_AIC","linear_p_value","quad_p_value"
"1","Spain","South","linear",51.3919625541639,52.0154135873208,0.00670882441268477,0.258589914212511
"2","Spain","North","linear",-98.6645169221591,-97.3306966235148,0.206855820173781,0.423607363098955
"3","Spain","Middle","quadratic",-32.4759819256834,-33.8699928536691,0.893246354289178,0.0732508978118319
"4","UK","South","linear",-18.576787976574,-18.5075423428079,0.01320168411858,0.180907821380299
"5","UK","North","quadratic",-73.8256815860995,-87.8394349407984,0.00179765754817369,8.73309170799793e-05
"6","UK","Middle","quadratic",-61.2965869484189,-61.794254504678,0.633700417241341,0.124384844757412
"7","France","South","linear",5.88098919497643,7.39973257226885,0.811356269878282,0.5041463321204
"8","France","North","linear",-118.13815338527,-116.138184721451,0.146149069295918,0.995621237958502
"9","France","Middle","linear",-16.2112900868337,-14.3326712714985,0.0101377379546869,0.734802900829468
"10","Belgium","South","linear",-19.3936108768267,-17.4209817969818,0.000643321451826872,0.873431905665459
"11","Belgium","North","quadratic",-40.8711512657944,-54.349563592501,0.432912807189454,0.000114695586731587
"12","Belgium","Middle","linear",-3.57161515907796,-2.23658951464539,0.0363888137347125,0.427856619191638
