Country,Region,contrast,estimate,SE,df,t.ratio,p.value
UK,North,(1878-1917) - (1958-1997),0.007310103,0.002256034,90,3.240245085,0.001674404
UK,Middle,(1878-1917) - (1958-1997),0.000885246,0.004100988,61,0.215861567,0.829815847
UK,South,(1878-1917) - (1958-1997),-0.016557087,0.013288958,75,-1.245928155,0.216668773
France,North,(1878-1917) - (1958-1997),0.009456566,0.002071137,90,4.565880846,1.57E-05
France,Middle,(1878-1917) - (1958-1997),0.010247326,0.003306077,61,3.099542405,0.002931232
France,South,(1878-1917) - (1958-1997),-0.007336287,0.00955626,75,-0.767694338,0.445079064
Spain,North,(1878-1917) - (1958-1997),0.011196323,0.003240208,90,3.455433687,0.000840191
Spain,Middle,(1878-1917) - (1958-1997),0.023046668,0.006320988,61,3.64605461,0.000552446
Spain,South,(1878-1917) - (1958-1997),0.008941447,0.006880112,75,1.299607732,0.197715911
,,,,,,,
UK,North,(1838-1877) - (1958-1997),-0.003632234,0.004457466,64,-0.81486518,0.418171483
UK,Middle,(1838-1877) - (1958-1997),0.004114129,0.013785853,50,0.298431209,0.766610811
UK,South,(1838-1877) - (1958-1997),-0.050242554,0.025911725,72,-1.938989178,0.056422061
France,North,(1838-1877) - (1958-1997),0.000461485,0.003982899,64,0.115866692,0.908120989
France,Middle,(1838-1877) - (1958-1997),0.013660778,0.010757944,50,1.269831708,0.210022727
France,South,(1838-1877) - (1958-1997),-0.024818615,0.018848808,72,-1.316720675,0.192108112
Spain,North,(1838-1877) - (1958-1997),0.005835299,0.006302142,64,0.925923165,0.357964346
Spain,Middle,(1838-1877) - (1958-1997),0.025551307,0.021754703,50,1.174518766,0.245750914
Spain,South,(1838-1877) - (1958-1997),0.02151373,0.013153982,72,1.635529754,0.106302676
