"","response","region","best_model","linear_AIC","quadratic_AIC","linear_p_value","quadratic_p_value"
"1","MaxK3_LD","North","quadratic",-189.838699173641,-213.148037029029,0.000454497610125214,7.80005863110292e-07
"2","MaxK3_LD","South","linear",-75.7479427668552,-73.8031827833051,0.748251992415595,0.819046947959538
"3","MaxK3_LD","Middle","linear",-86.4544791544053,-85.2573271120553,8.7249332567402e-06,0.401977530968251
"4","K3Q1S1964","North","linear",-114.403681615106,-112.436165019827,0.199624796093885,0.848362834220422
"5","K3Q1S1964","South","linear",78.0711257207646,80.0702956798065,0.00993376601170875,0.991679727985225
"6","K3Q1S1964","Middle","quadratic",41.7573824101342,40.5834674594842,0.0317043719516941,0.0768175278373707
"7","K3Q2S1964","North","quadratic",-57.3567684038869,-62.372750789139,0.00204297956231839,0.00965149678064705
"8","K3Q2S1964","South","linear",53.2027428307044,54.8480786207145,0.00246532467322825,0.572685240138791
"9","K3Q2S1964","Middle","quadratic",46.6802078094365,45.8857232344917,0.00550043499739166,0.0954307438647914
