"","country","region","best_model","linear_AIC","quadratic_AIC","linear_p_value","linear_B","quad_p_value"
"1","Spain","South","linear",51.3919625541639,52.0154135873208,0.00670882441268477,0.00672101896242043,0.258589914212511
"2","Spain","North","linear",-98.6645169221591,-97.3306966235148,0.206855820173781,0.000471915381977801,0.423607363098955
"3","Spain","Middle","quadratic",6.98476896162154,5.79168316411581,0.497407674284726,0.000664321300019008,0.0823109100804799
"4","UK","South","linear",-18.576787976574,-18.5075423428079,0.01320168411858,-0.00294431653308825,0.180907821380299
"5","UK","North","quadratic",-73.8256815860995,-87.8394349407984,0.00179765754817369,-0.00137170679021744,8.73309170799793e-05
"6","UK","Middle","quadratic",-21.1671908569744,-24.2460882479356,0.00243159594698503,-0.00246913889045982,0.0284337902813777
"7","France","South","linear",5.88098919497643,7.39973257226885,0.811356269878282,0.000353698243769741,0.5041463321204
"8","France","North","linear",-118.13815338527,-116.138184721451,0.146149069295918,0.000488339863810263,0.995621237958502
"9","France","Middle","linear",0.403309895600088,2.31942726405227,0.0162073932886507,0.00228496976112662,0.778250894773593
"10","Belgium","South","linear",-19.3936108768267,-17.4209817969818,0.000643321451826872,-0.00414728770109753,0.873431905665459
"11","Belgium","North","quadratic",-40.8711512657944,-54.349563592501,0.432912807189454,0.000403067331734651,0.000114695586731587
"12","Belgium","Middle","linear",-3.20190016283452,-1.29673355568589,0.595206094813144,-0.000480008867248352,0.764622141992358
