"","country","region","best_model","linear_AIC","quadratic_AIC","linear_p_value","linear_B","linear_F","quad_p_value","quad_F"
"value","Spain","South","linear",51.3919625541639,52.0154135873208,0.00670882441268477,0.00672101896242043,8.06198339859922,0.258589914212511,4.71268555314867
"value1","Spain","North","linear",-98.6645169221591,-97.3306966235148,0.206855820173781,0.000471915381977801,1.61703812797053,0.423607363098955,1.12845142113823
"value2","Spain","Middle","quadratic",6.98476896162154,5.79168316411581,0.497407674284726,0.000664321300019008,0.465930913952519,0.0823109100804799,1.80123829809097
"value3","UK","South","linear",-18.576787976574,-18.5075423428079,0.01320168411858,-0.00294431653308825,6.64666872626056,0.180907821380299,4.30801544423276
"value4","UK","North","quadratic",-73.8256815860995,-87.8394349407984,0.00179765754817369,-0.00137170679021744,10.3670433282985,8.73309170799793e-05,14.5938925597631
"value5","UK","Middle","quadratic",-21.1671908569744,-24.2460882479356,0.00243159594698503,-0.00246913889045982,9.99289269653832,0.0284337902813777,7.84090998309854
"value6","France","South","linear",5.88098919497643,7.39973257226885,0.811356269878282,0.000353698243769741,0.0576251046797226,0.5041463321204,0.255193942826147
"value7","France","North","linear",-118.13815338527,-116.138184721451,0.146149069295918,0.000488339863810263,2.14984064659032,0.995621237958502,1.06272083545761
"value8","France","Middle","linear",0.403309895600088,2.31942726405227,0.0162073932886507,0.00228496976112662,6.10923580121481,0.778250894773593,3.04929298788382
"value9","Belgium","South","linear",-19.3936108768267,-17.4209817969818,0.000643321451826872,-0.00414728770109753,13.4138614974346,0.873431905665459,6.57770408640869
"value10","Belgium","North","quadratic",-40.8711512657944,-54.349563592501,0.432912807189454,0.000403067331734651,0.620676983915926,0.000114695586731587,8.5274616441114
"value11","Belgium","Middle","linear",-3.20190016283452,-1.29673355568589,0.595206094813144,-0.000480008867248352,0.285225870139369,0.764622141992358,0.185748330940848
